Name,Website,Type,State,Address,Latitude,Longitude,Land Ownership,Permits Required,Permit Details,Seasonal Closure Notes,Dog Friendly,Open All Year,Clothing Optional,Overnight Stay,Accessibility
Terwilliger (Cougar) Hot Springs,https://en.wikipedia.org/wiki/Terwilliger_Hot_Springs,Natural,OR,Willamette National Forest near McKenzie Bridge,44.192,-122.078,USFS (Willamette NF),Yes,$10 per person fee ($60 annual pass); Northwest Forest Pass accepted,Closed Thursdays 8am-noon for cleaning; closed sunset to sunrise,No (dog tie-up area provided before springs),Yes,Yes,No (day use only),Limited - 0.25-0.4 mile hike
Belknap Hot Springs Resort & Spa,https://www.belknaphotsprings.com/,Commercial,OR,"59296 Belknap Springs Rd, Blue River, OR 97413",44.19244,-122.05061,Private,No,,Check resort for hours,No,Yes,No,Yes (cabins/RV/camping),Moderate
Kah-Nee-Ta Resort & Spa,https://kahneeta.com/,Commercial,OR,"10300 Highway 26, Warm Springs, OR 97761",44.7702,-121.2667,Tribal (Confederated Tribes of Warm Springs),Yes,Tribal resort; follow tribal policies and booking rules,Seasonal operations subject to tribal policies,Unknown,No,No,Yes,Moderate
Breitenbush Hot Springs Retreat & Conference Center,https://breitenbush.com/,Commercial,OR,"53000 Breitenbush Rd, Detroit, OR 97342",44.7808,-121.9749,Private,Yes,Reservations required for day-use and lodging; follow center rules,Seasonal workshops/closures possible,No (service animals only),Yes,Yes,Yes (cabins/yurts/camping),Limited - some accessible lodging
Ritter Hot Springs,https://www.statesmanjournal.com/story/travel/outdoors/2017/07/05/ritter-hot-springs-oregon-john-day-fossil-beds-painted-hills/449197001/,Natural,OR,Ritter Hot Springs area (central OR),44.89194,-119.14167,Private,No,,Currently closed for repairs,Unknown,No,Unknown,Unknown,Limited
Bagby Hot Springs,https://www.fs.usda.gov/recarea/mthood/recareas/recarea/?recid=42443,Natural,OR,"Bagby Hot Springs Trail, Mount Hood National Forest (near Estacada)",44.95418,-122.16892,USFS (Mt. Hood NF),Yes,$5 soaking fee; follow USFS rules; parking/road access varies,Trail/road seasonal access - often inaccessible in winter due to snow,Yes (leashed - not in tubs),Yes (road often inaccessible in winter),Yes (de facto - not officially stated),Yes (camping at Bagby Campground nearby),Limited - 1.5 mile hike required
Hot Lake Springs,https://hotlakesprings.com/,Commercial,OR,"66172 OR-203, La Grande, OR 97850",45.2736,-118.0896,Private,No,,Check resort for booking,Unknown,Yes,No,Yes,Moderate
The Allison Inn & Spa,https://www.allisoninn.com/,Commercial,OR,"2525 Allison Ln, Newberg, OR 97132",45.2894,-123.0202,Private,No,,Outdoor pool/spa listed on site,No,Yes,No,Yes,Yes
Resort at the Mountain,https://www.theresortatthemountain.com/,Commercial,OR,"68010 E Fairway Ave, Welches, OR 97067",45.3738,-121.977,Private,No,,Outdoor heated pool,No,Yes,No,Yes,Yes
Mt. Hood Oregon Resort,https://www.mthood-resort.com/,Commercial,OR,"68010 East Fairway Avenue, Welches, Oregon 97067",45.334899,-121.960645,Private,No,,,No,Yes,No,Yes,Yes
Bigelow Hot Springs,,Natural,OR,"McKenzie River Highway 126, near Belknap",44.1833,-122.0333,USFS,Yes,Check USFS for access,Seasonal - river levels affect accessibility,Yes (leashed),No,Yes,No,Very limited - river access
Wall Creek Hot Springs,,Natural,OR,Willamette National Forest near Salt Creek,43.75,-122.15,USFS,Yes,Northwest Forest Pass required,Year-round but best spring/fall,Yes (leashed),Yes,Yes,No,Limited - 0.3 mile hike
Barnes Warm Springs,,Natural,OR,Near Frenchglen in Malheur County,42.85,-118.95,BLM,No,,Year-round,Unknown,Yes,Yes,No,Limited - 0.8 mile hike
Antelope (Hart Mountain) Hot Springs,,Natural,OR,Hart Mountain National Antelope Refuge,42.4917,-119.6525,USFWS,No,,Seasonal - rough road access,Yes,No,Yes,Yes (primitive camping),Very limited - remote 4WD access
East Lake Hot Springs,,Natural,OR,"East Lake, Newberry Volcanic Monument",43.7167,-121.2,USFS,Yes,Monument fees apply,Seasonal - best summer,Yes (leashed),No,Yes,Yes (camping nearby),Limited
Mickey Hot Springs,,Natural,OR,Alvord Desert area,42.6833,-118.3167,BLM,No,,Year-round - NOT for bathing (too hot - observation only),Yes,Yes,No,No,Limited - observation only
Lithia Springs Resort,https://lithiaspringresort.com/,Commercial,OR,"2165 W Jackson Rd, Ashland, OR 97520",42.1842,-122.7397,Private,No,,,No,Yes,No,Yes,Yes
Chozu Bath & Tea Gardens,https://www.chozugardens.com,Commercial,OR,"1485 E Main St, Ashland, OR 97520",42.1947,-122.6897,Private,No,,,No,Yes,No,No (day spa),Yes
Hunter's Hot Springs Resort,,Commercial,OR,"18088 Hot Springs Hwy, Lakeview, OR 97630",42.3333,-120.35,Private,No,,,Yes (dog-friendly rooms),Yes,No,Yes,Moderate
Willow Creek (Whitehorse Ranch) Hot Springs,,Natural,OR,Southeast Oregon high desert,42.15,-118.1667,Private/BLM,No,,Year-round - remote,Unknown,Yes,Yes,No,Very limited - remote
Grande Hot Springs RV Resort,,Commercial,OR,"65182 OR-203, La Grande, OR 97850",45.2833,-118.0333,Private,No,,Pools open seasonally (May-September),Yes (allowed on property - not in pools),No,Yes (some areas - private yurts clothing optional),Yes (RV/yurts/tent/Airstream),Moderate
Juntura Hot Springs,,Natural,OR,Near Juntura,43.75,-118.0667,Unknown,Unknown,,Year-round,Unknown,Yes,Yes,Unknown,Limited
Lower Breitenbush (Ann Arbor) Hot Springs,,Natural,OR,Near Breitenbush Hot Springs,44.78,-121.98,USFS,Yes,Check USFS access,Year-round,Yes (leashed - not in pools),Yes,Yes,No,Limited - 0.5 mile trail
Three Forks Hot Springs,https://wildowyhee.org/things-to-do/hiking/three-forks-hot-springs/,Natural,OR,"Near Jordan Valley, Owyhee River confluence",42.53152,-117.17987,Private/BLM,Yes,Private land - owner allows access; 4WD required,Seasonal - impassable when wet; best May-Oct,Yes (leashed),No (seasonal access),Yes,Yes (primitive camping at Three Forks Recreation Site),Very limited - 3 mile hike + river crossing
Fisher Hot Springs,https://soakoregon.com/fisher-hot-springs/,Natural,OR,Near Adel in Crump Geyser Geothermal Area,42.3,-119.85,Private,No,Private land - respect property rights,Year-round - water very hot (may need to wait hours to cool),Yes (leashed),Yes,Yes,No,Limited - remote location
Cove Warm Springs,https://coveoregon.org/cove-warm-spring-pool/,Commercial,OR,"907 Water St, Cove, OR 97828",45.2934,-117.8071,Private,No,Day use fees $5-10; call 541-568-4890,Seasonal - typically Memorial Day to Labor Day only,No,No (summer only),No,Yes (limited tent/RV camping),Limited
Austin Hot Springs,,Natural,OR,Mt. Hood region near Warm Springs,45.0,-121.65,Tribal (Confederated Tribes of Warm Springs),Yes,Currently closed - on Native land; agreement needed with Warm Springs Tribe,Closed indefinitely,Unknown,No,Unknown,Unknown,Unknown
Borax Lake Hot Springs,,Natural,OR,Alvord Desert area,42.65,-118.58,BLM/Private,No,,Year-round - NOT for bathing (rare species habitat - endangered Borax Lake chub),Yes,Yes,No,No,Limited - observation only
Onsen Hot Tub & Sauna,https://www.onsenspas.com/,Commercial,OR,"2033 W 11th Ave, Eugene, OR 97402",44.0517,-123.1067,Private,No,,Private hourly rentals,No,Yes,No,No,Yes
Common Ground Wellness Cooperative,https://www.cgwc.org/,Commercial,OR,"2927 NE Everett St, Portland, OR 97232",45.5236,-122.6367,Private,No,,,Unknown,Yes,Yes,No,Yes
Knot Springs,https://knotsprings.com/,Commercial,OR,"4010 SE Division St, Portland, OR 97202",45.5049,-122.6184,Private,No,,Reservations required - 90 minute sessions,No,Yes,No,No,Yes
Root Whole Body,https://rootwholebody.com/,Commercial,OR,Multiple Portland locations,45.52,-122.68,Private,No,,Private treatment rooms,No,Yes,No,No,Yes
Hugh Spa,https://hughspa.com/,Commercial,OR,"4743 SE Hawthorne Blvd, Portland, OR 97215",45.5122,-122.6124,Private,No,,Women-only wet room (massage/skincare open to all),No,Yes,No,No,Moderate
CASCADA Thermal Springs & Spa,,Commercial,OR,"4803 NE Martin Luther King Jr Blvd, Portland, OR 97211",45.5567,-122.6611,Private,No,,New facility - 3 hour sessions or overnight,Unknown,Yes,No,Yes (overnight available),Yes
Everett House Community Healing Center,https://www.everetthousecommunityhealingcenter.com/,Commercial,OR,"4520 SE 41st Ave, Portland, OR 97206",45.4908,-122.6203,Private,No,,Saltwater hot pool and sauna,Unknown,Yes,Yes,No,Yes
Radium Springs,,Commercial,OR,"Near Haines, OR",45.4333,-118.0167,Private,No,Currently closed,Closed indefinitely,Unknown,No,Unknown,Unknown,Unknown
Virgin Valley Hot Springs,,Natural,OR,Sheldon National Wildlife Refuge (near Fields),41.9833,-119.4167,USFWS,No,,Year-round - very remote,Yes (leashed),Yes,Yes,Yes (primitive camping),Very limited - remote
Baltazor Hot Springs,,Natural,OR,Near Continental Lake (OR-NV border),41.95,-118.5833,BLM,No,NOT for bathing - at or near boiling temperatures (93-98°C); observation only,Year-round,Yes (leashed),Yes,No,No,Limited - observation only
Carson Hot Springs Resort,https://www.carsonresort.com/,Commercial,WA,"7242 Old Hwy 8, Carson, WA 98610",45.6459,-121.9406,Private,No,"Therapy pool $12-17, bath & wrap $30-35",Historical bathhouse - individual tubs & therapy pool,No,Yes,Yes (bathhouse only - therapy pool swimsuit required),Yes (rooms available),Moderate
Bonneville Hot Springs Resort,https://www.bonnevilleresorts.com/,Commercial,WA,"1131 Cascade Ave, North Bonneville, WA 98639",45.65581,-121.96098,Private,No,,,No,Yes,No,Yes,Yes
Skamania Lodge,https://skamania.com/,Commercial,WA,"1131 SW Skamania Lodge Way, Stevenson, WA 98648",45.6753,-121.9595,Private,No,,Outdoor heated pool & hot tubs,No,Yes,No,Yes,Yes
Tenzen Cabins & Springs,https://tenzen.com/,Commercial,WA,"932 Berge Rd, Stevenson, WA 98648",45.7196,-121.7823,Private,No,,"Private geothermal soaking tubs in each cabin, adults only",No,Yes,No,Yes (cabins only),Moderate
The Society Hotel Bingen,https://thesocietyhotel.com/bingen/spa-bathhouse/,Commercial,WA,"1st St, Bingen, WA 98605",45.7153,-121.4631,Private,No,"$35 + tax for non-guests, complimentary for hotel guests",Reservations required; 18+ after 8:30pm,No,Yes,No,Yes,Yes
Wind River Hot Springs,,Natural,WA,"Near Carson, Wind River area",45.74,-121.88,Public (below high water mark),No,Access complicated by private property; legal access via river crossing in late summer,Accessible late summer only when river level low,Yes (leashed),No (seasonal access),Yes,No (no camping due to private property),Very limited - river crossing required
Goldmyer Hot Springs,https://www.goldmyer.org/,Natural,WA,"Goldmyer Hot Springs, near North Bend (permit required)",47.4435,-121.474,Private,Yes,Permit required via Goldmyer Conservancy - $25/person; lottery system; limited to 20 people per day,Seasonal trail/permit constraints - best May-October,No,No (seasonal closure in winter),Yes,Yes (primitive camping on-site),Very limited - 4.5 mile hike
Scenic Hot Springs,https://scenichotsprings.com/,Natural,WA,"US-2 Skykomish, WA 98288",47.70545,-121.134157,Private,Yes,"Access policies change; reserve when open - $5-10/person, reservations required",Seasonal/closed at times,No,Yes (weather permitting),Yes,No (day use only),Limited - 2.2 mile hike
Baker Hot Springs,,Natural,WA,"Near Baker Lake, Mount Baker-Snoqualmie National Forest",48.7167,-121.65,USFS,Yes,High clearance vehicle recommended for access road,Year-round access but winter requires preparation,Yes (leashed),Yes,Yes,No (day use only),Limited - 0.6 mile hike
Gamma Hot Springs,https://www.wta.org/go-hiking/hikes/upper-suiattle-river-798,Natural,WA,Gamma Hot Springs area (remote Glacier Peak Wilderness),48.1526,-121.0634,USFS,Yes,Backcountry wilderness permit required,Very remote - best July-September,Yes (leashed),No,Yes,Yes (backcountry camping),Very limited - extremely remote 30+ mile multi-day hike
Kennedy Hot Springs,https://www.wta.org/go-hiking/hikes/kennedy-hotsprings,Natural,WA,Kennedy Hot Springs area (Glacier Peak Wilderness),48.1549,-121.2662,USFS,No,CLOSED - buried by 2003 flood; no longer accessible,Permanently closed/inaccessible,,No,,,Inaccessible
Suncadia Resort,https://www.suncadia.com/,Commercial,WA,"1 Suncadia Trail, Cle Elum, WA 98922",47.251,-120.8127,Private,No,,Outdoor pool complex (some heated),No,Yes,No,Yes,Yes
Salish Lodge & Spa,https://www.salishlodge.com/,Commercial,WA,"6501 Railroad Ave SE, Snoqualmie, WA 98065",47.5279,-121.8269,Private,No,,Outdoor whirlpool / heated features,No,Yes,No,Yes,Yes
Olympic Hot Springs,https://www.nps.gov/olym/hot-springs.htm,Natural,WA,"Olympic National Park, Elwha Valley (near Port Angeles)",48.0412,-123.5902,NPS (Olympic NP),Yes,National Park entrance fee required - $30/vehicle,Road closed - requires 10+ mile bike/hike from Madison Falls trailhead,No (pets not allowed past trailhead),Yes (weather/trail conditions permitting),Yes,No (backcountry camping nearby with permit),Very limited - 10+ mile bike/hike
Sol Duc Hot Springs Resort,https://www.olympicnationalparks.com/things-to-do/sol-duc-hot-springs-resort/,Commercial,WA,"Sol Duc Hot Springs Resort, Olympic National Park (near Forks)",48.1249,-123.9964,NPS (Olympic NP),Yes,Park entrance fees; resort operated under NPS concession,Seasonal/road closures possible - typically open late March to late October,No,No (seasonal - typically March-October),No,Yes (cabins/camping),Moderate - ADA accessible pools
Port Ludlow Resort,https://www.portludlowresort.com/,Commercial,WA,"95A 1st St NE, Port Ludlow, WA 98365",48.0287,-122.7196,Private,No,,Outdoor pool / spa listed,No,Yes,No,Yes,Yes
Doe Bay Resort & Retreat,https://doebay.com/,Commercial,WA,"101 Doe Bay Resort Rd, Orcas, WA 98280",48.6224,-122.8671,Private,No,,Reservations required - communal or private sessions,No,Yes,Yes (mineral soaking tubs),Yes (cabins/yurts/camping),Moderate
Banya 5,https://www.banya5.com,Commercial,WA,"217 9th Ave N, Seattle, WA 98109",47.6249,-122.342,Private,No,,Reservations required,No,No (closed Mondays),No (swimsuit required),No (day spa),Yes
Olympus Spa,https://olympusspa.com/,Commercial,WA,"3815 196th St SW, Lynnwood, WA 98036",47.8207,-122.2759,Private,No,,Women only,No,Yes,No (swimsuit/robe areas),No (day spa),Yes
Q Sauna & Spa,https://qspalynnwood.com/,Commercial,WA,"17420 Hwy 99, Lynnwood, WA 98037",47.8258,-122.2892,Private,No,,Korean-style jjimjilbang,No,Yes,No (gender-separated nude areas),No (day spa),Yes
Hothouse Spa & Sauna,,Commercial,WA,"1019 E Pike St, Seattle, WA 98122",47.6141,-122.3193,Private,No,,Private rentals only (90 min - 3 hour blocks),No,Yes,No (swimsuit required),No,Yes
Soak & Sage Spa,https://soakandsagespa.com/,Commercial,WA,"5207 Rainier Ave S, Seattle, WA 98118",47.5516,-122.2699,Private,No,,Co-ed social bathhouse (18+),No,Yes,No (swimsuit required),No,Yes
We Sweat West Seattle,,Commercial,WA,"2705 California Ave SW, Seattle, WA 98116",47.575,-122.3869,Private,No,,Infrared sauna & cold plunge studio,No,Yes,No,No,Yes
Yuan Spa,,Commercial,WA,"Bellevue, WA",47.6101,-122.2015,Private,No,,Co-ed hydrotherapy spa,No,Yes,No (swimsuit required),No,Yes
Palace Spa,,Commercial,WA,"Federal Way, WA",47.3223,-122.3126,Private,No,,Korean spa - co-ed,No,Yes,No (gender-separated nude areas),No,Yes
Tacoma Banya,https://www.tacomabanya.com/,Commercial,WA,"4704 S Oakes St, Tacoma, WA 98409",47.2287,-122.4531,Private,No,,Russian-style banya; co-ed,No,No (closed Mondays),No (swimsuit required),No,Yes
Olympus Spa Tacoma,https://olympusspa.com/tacoma/,Commercial,WA,"3815 S Steele St, Tacoma, WA 98409",47.2275,-122.4425,Private,No,,Women only,No,Yes,No (swimsuit/robe areas),No (day spa),Yes
Spa Serein,https://www.silvercloud.com/pointruston/spa/,Commercial,WA,"Silver Cloud Hotel, 5325 Grand Loop, Tacoma, WA 98407",47.3086,-122.5167,Private,No,,Infrared saunas in men's and women's lounges,No,Yes,No,No,Yes
Urban Float University Place,https://www.urbanfloat.com/universityplace,Commercial,WA,"University Place (near Tacoma), WA",47.2167,-122.5333,Private,No,,Float tanks and infrared sauna,No,Yes,No,No,Yes
Spa Odessa,,Commercial,WA,"Tacoma, WA",47.25,-122.44,Private,No,,Russian banya - co-ed,No,Yes,No (swimsuit required in common areas),No,Moderate
The Chrysalis Inn & Spa,https://www.hilton.com/en/hotels/blittqq-the-chrysalis-inn-and-spa-bellingham/spa/,Commercial,WA,"804 10th St, Bellingham, WA 98225",48.7231,-122.5092,Private,No,,Eucalyptus steam room and spa services,No,Yes,No,Yes,Yes
Flow Motion Healing Spa,https://moveinflowmotion.com/,Commercial,WA,"Ferndale (near Bellingham), WA",48.85,-122.59,Private,No,$40 for 3-hour spa pass; additional charges for services,Himalayan salt cave, infrared sauna, amethyst cave,No,Yes,No
Semiahmoo Resort & Spa,https://www.semiahmoo.com/,Commercial,WA,"9565 Semiahmoo Pkwy, Blaine, WA 98230",48.9939,-122.7694,Private,No,,Full-service resort spa,No,Yes,No,Yes,Yes
Zazen Salon & Spa,,Commercial,WA,"11 Bellwether Way, Bellingham, WA 98225",48.7267,-122.4886,Private,No,,Infrared saunas available,No,Yes,No,No,Yes
Silver Reef Casino Spa,,Commercial,WA,"Ferndale (near Bellingham), WA",48.85,-122.59,Tribal,No,,Affordable spa experience,No,Yes,No,No,Moderate
Sanctuary Spa,https://www.sanctuaryspokane.com/,Commercial,WA,"Spokane, WA",47.6588,-117.426,Private,No,,Day passes available - therapeutic pools & saunas,No,Yes,No,No,Yes
La Rive Spa at Northern Quest Resort,https://www.northernquest.com/spa/overview,Commercial,WA,"100 N Hayford Rd, Airway Heights, WA 99001",47.6541,-117.5931,Tribal,No,,Includes pool access with treatments,No,Yes,No,Yes,Yes
Sulphur Warm Springs,,Natural,WA,Near Darrington in Mount Baker-Snoqualmie NF,48.4167,-121.6167,USFS,No,,Best May-November; trail damaged by fires - overgrown,Yes (leashed),Yes (weather permitting),Yes,No (day use only),Limited - 2 mile hike
Mount Baker (Morovitz) Hot Springs,,Natural,WA,Near Concrete in Mount Baker-Snoqualmie National Forest,48.75,-121.65,USFS,No,,Winter road may be impassable due to snow,Yes (leashed),Yes (weather permitting),Yes,No (dispersed camping nearby),Limited - 0.3 mile hike
Soap Lake Natural Spa & Resort,https://soaplakeresort.com/,Commercial,WA,"236 Main Ave E, Soap Lake, WA 98851",47.3833,-119.4833,Private,No,,"Mineral lake resort - not geothermal hot springs, but high mineral content water",Yes (allowed on property - not in pools),Yes,No (swimsuit required),Yes (inn/lodge/cabins),Moderate
Travertine Hot Springs,,Natural,CA,"Jack Sawyer Rd, Bridgeport, CA 93517",38.24649,-119.20587,BLM/State Park,No,,Year-round - winter road may be difficult,Yes (leashed - not in pools),Yes,Yes,No (camping prohibited at springs),Limited - 1 mile dirt road drive
Buckeye Hot Springs,,Natural,CA,"Near Bridgeport, CA 93517",38.24135,-119.32609,USFS,No,,Year-round,Yes (leashed - not in pools),Yes,Yes,No (camping nearby),Limited - short hike
Wilbur Hot Springs,https://www.wilburhotsprings.com/,Commercial,CA,"3375 Wilbur Springs Rd, Williams, CA 95987",39.0167,-122.3833,Private,Yes,Reservations required for all visits; day use 10am-5pm,Year-round,No (pet-free zone),Yes,Yes,Yes (cabins/lodge/camping),Limited
Vichy Springs Resort,https://vichysprings.com/,Commercial,CA,"2605 Vichy Springs Rd, Ukiah, CA 95482",39.1667,-123.2,Private,No,Day use and overnight available,Year-round,No,Yes,No,Yes (rooms/cottages),Moderate
Sierra Hot Springs,https://sierrahotsprings.org/,Commercial,CA,"521 Campbell Hot Springs Rd, Sierraville, CA 96126",39.5833,-120.3667,Private,Yes,Day use and overnight; closed Mon-Tue,Seasonal - closed Mon-Tue; best Wed-Sun,No,No (closed Mon-Tue),Yes,Yes (lodge/camping),Limited
Calistoga Spa Hot Springs,https://www.calistogaspa.com/,Commercial,CA,"1006 Washington St, Calistoga, CA 94515",38.5781,-122.5789,Private,No,,Year-round,No,Yes,No,Yes,Moderate
Indian Springs Calistoga,https://indianspringscalistoga.com/,Commercial,CA,"1712 Lincoln Ave, Calistoga, CA 94515",38.5789,-122.5817,Private,No,,Year-round,No,Yes,No,Yes,Yes
Dr. Wilkinson's Backyard Resort & Mineral Springs,https://drwilkinson.com/,Commercial,CA,"1507 Lincoln Ave, Calistoga, CA 94515",38.5783,-122.5803,Private,No,,Year-round,No,Yes,No,Yes,Moderate
Roman Spa Hot Springs Resort,https://www.romanspahotsprings.com/,Commercial,CA,"1300 Washington St, Calistoga, CA 94515",38.5775,-122.5792,Private,No,,Year-round,Unknown,Yes,No,Yes,Moderate
Solage Resort,https://aubergeresorts.com/solage/,Commercial,CA,"755 Silverado Trail, Calistoga, CA 94515",38.5833,-122.5333,Private,No,,Year-round,No,Yes,No,Yes,Yes
Golden Haven Hot Springs,https://goldenhaven.com/,Commercial,CA,"1713 Lake St, Calistoga, CA 94515",38.5794,-122.5803,Private,No,,Year-round,No,Yes,No,Yes,Moderate
Mount View Hotel & Spa,https://mountviewhotel.com/,Commercial,CA,"1457 Lincoln Ave, Calistoga, CA 94515",38.5781,-122.5806,Private,No,,Year-round,No,Yes,No,Yes,Moderate
Calistoga Motor Lodge & Spa,https://calistogamotorlodge.com/,Commercial,CA,"1880 Lincoln Ave, Calistoga, CA 94515",38.5797,-122.5825,Private,No,,Year-round,Unknown,Yes,No,Yes,Moderate
Meadowlark Country House & Resort,https://meadowlarkresort.com/,Commercial,CA,"601 Petrified Forest Rd, Calistoga, CA 94515",38.6,-122.6167,Private,Yes,Adults-only; reservations required,Year-round,No,Yes,Yes (clothing optional),Yes,Moderate
Fairmont Sonoma Mission Inn & Spa,https://www.fairmont.com/sonoma/,Commercial,CA,"100 Boyes Blvd, Sonoma, CA 95476",38.3117,-122.4833,Private,No,,Year-round,No,Yes,No,Yes,Yes
Orr Hot Springs,https://orrhotsprings.org/,Commercial,CA,"13201 Orr Springs Rd, Ukiah, CA 95482",39.2167,-123.3167,Private,Yes,Reservations required; day use and overnight,Year-round,No,Yes,Yes,Yes (cabins/camping/hostel),Limited
Harbin Hot Springs,https://harbinhotsprings.org/,Commercial,CA,"18424 Harbin Springs Rd, Middletown, CA 95461",38.7833,-122.6167,Private (non-profit),Yes,Membership required; reservations for day use and overnight,Year-round,No,Yes,Yes (most areas),Yes (rooms/camping),Limited
Mono Hot Springs Resort,https://www.monohotsprings.com/,Commercial,CA,"Near Edison Lake, Mono Hot Springs, CA 93642",37.3333,-118.9833,Private (USFS land),No,Remote location - check road conditions,Seasonal - typically May-October (Kaiser Pass Road closes in winter),Unknown,No (seasonal closure),Yes,Yes (cabins),Very limited - 9+ mile mountain road
Travertine Point Hot Springs,,Natural,CA,Near Bridgeport on Hwy 395,38.2167,-119.2333,BLM,No,,Year-round,Yes (leashed),Yes,Yes,No,Limited
Wild Willy's (Crowley) Hot Springs,,Natural,CA,Near Mammoth Lakes,37.6167,-118.7667,BLM,No,,Year-round,Yes (leashed),Yes,Yes,No,Very limited - 2 mile hike
Crab Cooker Hot Springs,,Natural,CA,Near Mammoth Lakes,37.6333,-118.8333,USFS,No,,Year-round,Yes (leashed),Yes,Yes,No,Limited - dirt road + short hike
Hilltop (Pulkey's Pool) Hot Springs,,Natural,CA,Near Mammoth Lakes,37.6,-118.8167,BLM,No,,Year-round,Yes (leashed),Yes,Yes,No,Limited - dirt road access
Whitmore Hot Springs,https://whitmorepools.com/,Commercial,CA,Near Mammoth Lakes on Benton Crossing Rd,37.5667,-118.8667,Private,No,Day use fees apply,Year-round,Unknown,Yes,No,No,Moderate
Hot Creek Geothermal Area,,Natural,CA,Near Mammoth Lakes,37.6667,-118.8333,USFS,No,CLOSED to bathing - observation only due to extreme temps and geologic instability,Closed for bathing - viewing only,Yes (leashed),Yes,No,No,Moderate - observation platform
Keough's Hot Springs,https://keoughshotsprings.com/,Commercial,CA,"800 Keough Hot Springs Rd, Bishop, CA 93514",37.3833,-118.4167,Private,No,,Year-round,Yes (allowed on property - not in pools),Yes,No,Yes (camping/RV),Moderate
Benton Hot Springs,http://bentonhotspringsresort.com/,Commercial,CA,"55255 Hwy 120, Benton, CA 93512",37.8167,-118.4667,Private,No,,Year-round,Yes (leashed - not in pools),Yes,No,Yes (cabins/trailers),Limited
Shepherd Hot Springs,,Natural,CA,Near Mammoth Lakes in Inyo National Forest,37.5833,-118.8167,USFS,No,,Year-round - remote,Yes (leashed),Yes,Yes,Yes (primitive camping),Very limited - remote backcountry
Remington Hot Springs,,Natural,CA,Near Kernville on Kern River,35.7667,-118.5833,USFS,No,,Year-round - check river levels,Yes (leashed),Yes,Yes,No,Limited - short hike from parking
California Hot Springs Resort,https://www.californiahotsprings.net/,Commercial,CA,"42777 Hot Springs Dr, California Hot Springs, CA 93207",35.8833,-118.6667,Private,No,,Year-round,Yes (leashed - not in pools),Yes,No,Yes (cabins/camping),Moderate
Sykes Hot Springs,,Natural,CA,Big Sur - Ventana Wilderness,36.2667,-121.6833,USFS (Los Padres NF),Yes,Wilderness permit required,Year-round - trail conditions vary,Yes (leashed),Yes,Yes,Yes (backcountry camping),Very limited - 10 mile hike
